,ID_PARCEL_2022,SURF_PARC_2022,CODE_CULTU_2022,CODE_GROUP_2022,CULTURE_D1_2022,CULTURE_D2_2022,geometry,libelle_cultu_2022,CAMPAGNE_DEBUT_2022,CAMPAGNE_FIN_2022,libelle_d1_2022,libelle_d2_2022,area
1462519,8832434,2.79,MIS,2,,,"POLYGON ((622276.7828999981 6240857.030700002, 622276.7832000032 6240857.031100001, 622293.3348999992 6240847.969900001, 622433.078900002 6241076.710800003, 622519.8937000036 6241034.952200003, 622388.0051999986 6240793.332400002, 622358.1673000008 6240810.369800001, 622358.1669000015 6240810.371200003, 622358.2158000022 6240810.453300003, 622276.7828999981 6240857.030700002))",Maïs,2015,,,,27908.546440801532
573891,3466335,13.24,MIS,2,,,"POLYGON ((557937.9061000049 6303022.719900001, 557940.7749999985 6303020.527000003, 557941.0980999991 6303020.285, 558002.2129999995 6302974.511, 558059.3040000051 6302932.900000002, 558070.1530000046 6302926.483000003, 558099.0860000029 6302912.315000001, 558146.1660000011 6302889.0370000005, 558152.3018999994 6302886.199100003, 558188.075000003 6302869.654000003, 558246.4270000011 6302839.375, 558289.9980000034 6302813.9810000025, 558338.751000002 6302794.362, 558359.0799999982 6302786.138, 558376.6359999999 6302781.039000001, 558392.4720000029 6302774.458000001, 558385.3000000045 6302761.5950000025, 558316.2920000032 6302704.914000001, 558246.6400000006 6302645.768000003, 558195.0329999998 6302611.982000001, 558161.5579999983 6302595.381000001, 558097.8030000031 6302571.066, 558027.9760000035 6302547.068, 558021.8464000002 6302545.4441, 557987.9356999993 6302740.4573, 557985.6123000011 6302739.931200001, 557961.2503000051 6302884.342400003, 557802.6074000001 6302899.236700002, 557762.362999998 6303166.522700001, 557788.75 6303149.131000001, 557839.4329999983 6303104.866, 557897.1920000017 6303053.84, 557937.9061000049 6303022.719900001))",Maïs,2015,,,,132388.40445996076
479396,2894277,0.54,MIS,2,,,"POLYGON ((725130.3640000001 6283906.283, 725146.212000005 6283891.195, 725107.4600000009 6283838.875, 725033.8650000021 6283862.647, 725047.5420000032 6283884.790000003, 725056.5520000011 6283915.944000002, 725130.3640000001 6283906.283))",Maïs,2015,,,,5422.887813643579
951015,5746678,6.81,MIS,2,,,"POLYGON ((577352.5960000008 6265472.633000001, 577296.7870000005 6265461.544, 577281.0940000042 6265475.976, 577284.9450000003 6265491.009, 577272.1840000004 6265505.348000001, 577267.2899999991 6265502.519000001, 577215.8859999999 6265548.323000003, 577209.5320000052 6265550.479000002, 577203.9720000029 6265546.280000001, 577161.3299999982 6265468.190000001, 576895.5930000022 6265624.495000001, 576905.5949999988 6265654.326000001, 576880.450000003 6265672.16, 576906.3000000045 6265833.770000003, 576901.0700000003 6265839.310000002, 576906.1099999994 6265855.334000003, 576988.0310000032 6265795.780000001, 577001.1979999989 6265796.585000001, 577001.3557000011 6265796.8937, 577001.5729999989 6265797.3193, 577025.5632000044 6265772.839500003, 577048.317400001 6265751.143600002, 577079.5383000001 6265720.9811, 577121.8717000037 6265682.351800002, 577154.6801000014 6265651.130900003, 577202.8343999982 6265604.035, 577222.4136000052 6265582.868300002, 577271.0970000029 6265542.651500002, 577353.5854000002 6265472.853700001, 577352.5960000008 6265472.633000001))",Maïs,2015,,,,68128.2543152778
997105,6024038,0.86,MIS,2,,,"POLYGON ((493281.3810000047 6222588.184, 493275.1630000025 6222519.790000003, 493259.2880000025 6222373.739, 493211.9980000034 6222383.852000002, 493211.9980000034 6222385.226, 493166.7300000042 6222396.217, 493166.7330000028 6222396.256000001, 493166.1010000035 6222396.454, 493167.7880000025 6222417.984000001, 493169.9910000041 6222439.488000002, 493236.53400000185 6222424.672000002, 493236.58200000226 6222425.318, 493236.70600000024 6222425.210000001, 493241.54200000316 6222424.59, 493253.56599999964 6222586.664000001, 493253.7019999996 6222586.647, 493254.2550000027 6222591.617000002, 493281.3810000047 6222588.184))",Maïs,2015,,,,8611.402041323665
174105,1052375,3.16,MIS,2,,,"POLYGON ((466853.42400000244 6269085.949000001, 466823.66700000316 6269139.209000003, 466811.52600000054 6269161.805, 466779.55000000447 6269217.932, 466770.4350000024 6269233.029000003, 466750.1429999992 6269270.168000001, 466741.96400000155 6269284.361000001, 466745.5050000027 6269289.681000002, 466747.0350000039 6269291.98, 466757.4910000041 6269298.156000003, 466755.31599999964 6269308.401000001, 466750.54399999976 6269317.5940000005, 466753.1460000053 6269319.043000001, 466790.0050000027 6269339.573000003, 466837.9820000008 6269366.296, 466839.1180000007 6269366.385000002, 466853.186999999 6269367.487, 466861.0769999996 6269347.6620000005, 466884.2969999984 6269284.331, 466908.0370000005 6269209.694000002, 466937.2679999992 6269132.544, 466949.76900000125 6269101.625, 466866.0930000022 6269068.509, 466861.5300000012 6269071.441, 466853.42400000244 6269085.949000001))",Maïs,2015,,,,31607.01584390912
793631,4795525,0.86,MIS,2,,,"POLYGON ((454989.0300000012 6241054.461000003, 454997.1230000034 6241049.819000002, 455051.4050000012 6240985.739, 455048.9530000016 6240942.735000003, 455046.5920000002 6240901.319000002, 455009.7800000012 6240901.117000002, 454979.6410000026 6240900.952, 454981.1480000019 6241010.852000002, 454981.64900000393 6241047.429000001, 454989.0300000012 6241054.461000003))",Maïs,2015,,,,8602.086764853933
1457549,8802236,3.96,MIS,2,,,"POLYGON ((518018.701000005 6268286.446000002, 518015.375 6268294.574000001, 518015.92500000447 6268294.932, 518024.13700000197 6268300.272, 518024.34700000286 6268300.417000003, 518044.9310000017 6268315.351, 518045.8950000033 6268316.269000001, 518057.80900000036 6268331.116, 518058.52899999917 6268332.332000002, 518058.87900000066 6268333.702, 518060.9800000042 6268352.917000003, 518060.9270000011 6268354.367000002, 518060.4600000009 6268355.740000002, 518038.79200000316 6268398.025000002, 518018.8020000011 6268459.578000002, 518008.49599999934 6268509.833000001, 518014.0469999984 6268506.579, 518030.65900000185 6268495.783, 518075.97900000215 6268469.525000002, 518249.200000003 6268368.450000003, 518248.0329999998 6268363.925000001, 518193.6480000019 6268263.489, 518150.93900000304 6268188.2820000015, 518150.7930000052 6268188.022, 518148.4079999998 6268183.783, 518145.1010000035 6268184.992000002, 518130.5780000016 6268190.302000001, 518105.6000000015 6268204.917000003, 518094.4120000005 6268219.353, 518093.4780000001 6268220.276000001, 518052.4849999994 6268251.312000003, 518051.25400000066 6268260.363000002, 518050.66099999845 6268262.136, 518049.45700000226 6268263.567000002, 518030.70700000226 6268278.837000001, 518030.21599999815 6268279.190000001, 518018.701000005 6268286.446000002))",Maïs,2015,,,,39571.03579529031
6069,36711,0.61,MIS,2,,,"POLYGON ((493564.9593999982 6289536.434100002, 493540.43879999965 6289501.1033000015, 493538.0680000037 6289501.836800002, 493538.8827000037 6289502.897600003, 493522.7431000024 6289513.348700002, 493501.5764000043 6289530.414300002, 493501.3660000041 6289530.513600003, 493501.31710000336 6289530.7938, 493501.3167999983 6289530.794100001, 493455.69370000064 6289552.063200001, 493426.4345000014 6289565.8686, 493432.1231000051 6289611.641600002, 493552.6979999989 6289549.503200002, 493562.28670000285 6289538.8638, 493564.9593999982 6289536.434100002))",Maïs,2015,,,,6064.831727645178
1136975,6869912,3.38,MIS,2,,,"POLYGON ((474482.05099999905 6238551.614, 474449.9970000014 6238554.366, 474417.42500000447 6238557.143000003, 474418.4100000039 6238578.422000002, 474419.6600000039 6238609.978, 474420.2880000025 6238625.556000002, 474420.38700000197 6238626.654000003, 474420.52899999917 6238628.111000001, 474421.0329999998 6238633.452, 474482.4910000041 6238633.902000003, 474486.78599999845 6238618.593000002, 474490.76099999994 6238620.143000003, 474580.7320000008 6238663.3450000025, 474584.46900000423 6238633.467, 474597.38500000536 6238632.332000002, 474583.8960000053 6238606.461000003, 474577.67500000447 6238601.938000001, 474571.1070000008 6238596.681000002, 474561.33200000226 6238578.420000002, 474539.09700000286 6238533.843000002, 474614.8590000048 6238529.878000002, 474616.78900000453 6238529.727000002, 474602.14900000393 6238487.547000002, 474591.388000004 6238458.741, 474583.6460000053 6238440.997000001, 474579.28599999845 6238432.327, 474566.2730000019 6238410.209000003, 474552.9530000016 6238387.759, 474530.49599999934 6238350.888, 474528.68400000036 6238348.915000003, 474490.70700000226 6238356.877, 474474.7560000047 6238361.120000001, 474478.2470000014 6238386.900000002, 474480.90100000054 6238404.709000003, 474481.58700000495 6238408.301000003, 474487.0549999997 6238425.086000003, 474499.30000000447 6238450.650000002, 474440.71599999815 6238454.119000003, 474449.2749999985 6238480.212000001, 474459.90900000185 6238503.919, 474482.62000000477 6238551.569000002, 474482.05099999905 6238551.614))",Maïs,2015,,,,33820.17771541424
